offerId,price,validity,On-net Mins,Off-net Mins,SMS,Data,Social Data
2674,5000,3,0,0,0,6144,0
2512,1303,1,0,0,2000,81920,0
3400,520,3,500,100,500,10240,0
1073,520,3,0,0,0,6144,0
1520,20,3,0,0,0,2000,0
2758,956,30,3000,300,3000,0,35840
3559,2150,7,0,0,0,2048,0
1518,150,7,0,0,0,2048,0
3574,69,3,0,0,0,3072,0
1589,500,30,0,0,6000,25600,0
1074,869,7,0,0,0,15360,0
1382,556,30,0,0,0,5000,0
3238,43,1,30,0,30,0,0
1517,150,1,0,0,0,2048,0
3415,25,3,180,5,180,500,0
1497,27,30,0,0,0,0,1536
1137,210,3,0,0,5000,5120,0
1133,532,30,3000,100,3000,3072,0
1433,60,30,0,0,0,0,0
2623,800,3,0,0,3000,20480,0
1057,118,1,1500,0,1500,1500,0
1432,373,7,1000,100,1000,10240,0
1452,28,3,500,0,500,500,0
2626,147,1,3000,30,3000,3000,0
1106,1200,7,0,0,0,0,0
1489,150,30,0,0,0,0,10240
1600,3300,30,900,600,250,0,0
1490,11,30,1440,0,300,0,0
2635,1304,1,0,0,0,102400,0
1614,1347,30,0,0,0,71680,0
1098,4500,1,0,0,0,61440,0
1155,215,1,0,0,0,2048,0
1621,30,7,0,0,0,5120,0
2344,16,30,0,10,0,0,0
1080,85,1,0,0,0,0,0
1648,434,7,3000,30,3000,14336,0
1128,199,1,1500,50,1500,3072,0
3553,1194,30,0,0,0,1024,0
1048,173,7,1000,60,1000,100,0
2509,1216,30,0,0,2000,81920,0
1511,2300,7,0,0,5000,17408,0
1089,143,7,0,0,0,2000,0
1060,1199,3,3000,300,3000,10240,0
1083,170,7,5000,0,0,12288,0
1507,391,1,0,0,0,3072,0
2488,15,3,250,0,200,0,0
1084,80,3,0,0,0,2048,0
1392,250,7,0,0,0,0,0
1522,250,1,0,0,0,0,6144
1651,2183,30,12500,1250,12500,12800,0
2518,2000,1,0,0,0,2048,0
2872,1304,1,3000,300,3000,15360,0
1153,95,7,0,0,0,1024,0
1390,50,30,0,0,2000,0,0
1391,90,7,0,0,750,0,0
1594,1100,30,200,125,100,0,0
1657,4366,30,20000,2000,20000,20480,0
1397,800,30,0,0,0,14000,0
1456,190,1,0,0,0,5120,0
1697,1250,7,4500,300,4500,15360,0
2506,41825,1,0,0,0,5120,0
1399,687,7,0,0,0,10240,0
1544,13,7,100,0,0,0,1024
1384,345,1,0,0,0,0,0
3565,999,30,0,0,0,1024,0
1557,100,1,500,30,2500,5120,0
2887,200,1,0,0,0,5120,0
1618,75,7,0,0,250,0,0
